gender,age,marital_status,highest_qualification,nationality,ethnicity,gross_income,region,smoke,amt_weekends,amt_weekdays,type
Male,38,Divorced,No Qualification,British,White,"2,600 to 5,200",The North,No,,,
Female,42,Single,No Qualification,British,White,"Under 2,600",The North,Yes,12.0,12.0,Packets
Male,40,Married,Degree,English,White,"28,600 to 36,400",The North,No,,,
Female,40,Married,Degree,English,White,"10,400 to 15,600",The North,No,,,
Female,39,Married,GCSE/O Level,British,White,"2,600 to 5,200",The North,No,,,
Female,37,Married,GCSE/O Level,British,White,"15,600 to 20,800",The North,No,,,
Male,53,Married,Degree,British,White,"Above 36,400",The North,Yes,6.0,6.0,Packets
Male,44,Single,Degree,English,White,"10,400 to 15,600",The North,No,,,
Male,40,Single,GCSE/CSE,English,White,"2,600 to 5,200",The North,Yes,8.0,8.0,Hand-Rolled
Female,41,Married,No Qualification,English,White,"5,200 to 10,400",The North,Yes,15.0,12.0,Packets
Male,72,Widowed,No Qualification,English,White,"10,400 to 15,600",The North,No,,,
Male,49,Married,No Qualification,British,White,Refused,The North,No,,,
Male,29,Married,Degree,English,White,"Above 36,400",The North,No,,,
Female,79,Widowed,No Qualification,English,White,"10,400 to 15,600",The North,No,,,
Male,25,Single,Degree,English,White,"15,600 to 20,800",The North,No,,,
Female,27,Single,Degree,English,White,"15,600 to 20,800",The North,No,,,
Female,30,Single,Degree,English,White,"20,800 to 28,600",The North,No,,,
Male,47,Divorced,No Qualification,British,White,"10,400 to 15,600",The North,No,,,
Female,69,Single,Other/Sub Degree,English,White,"2,600 to 5,200",The North,No,,,
Male,55,Married,No Qualification,English,White,"20,800 to 28,600",The North,No,,,
Female,34,Married,GCSE/CSE,British,White,"2,600 to 5,200",The North,Yes,6.0,12.0,Packets
Female,36,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,Yes,5.0,2.0,Packets
Female,56,Married,No Qualification,English,White,"2,600 to 5,200",The North,Yes,20.0,20.0,Packets
Male,71,Divorced,No Qualification,English,White,Unknown,The North,No,,,
Female,38,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Female,79,Married,No Qualification,English,White,"Under 2,600",The North,No,,,
Female,58,Divorced,No Qualification,English,White,"5,200 to 10,400",The North,Yes,25.0,20.0,Packets
Female,69,Married,No Qualification,British,White,"Under 2,600",The North,No,,,
Male,83,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
Female,73,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Female,42,Married,GCSE/O Level,British,White,Refused,The North,Yes,40.0,15.0,Packets
Female,31,Married,GCSE/CSE,English,White,"Under 2,600",The North,Yes,15.0,15.0,Both/Mainly Packets
Male,26,Single,GCSE/CSE,English,White,"2,600 to 5,200",The North,No,,,
Female,27,Separated,Degree,English,White,"15,600 to 20,800",The North,No,,,
Female,57,Married,Higher/Sub Degree,English,White,"10,400 to 15,600",The North,No,,,
Female,30,Married,ONC/BTEC,English,White,"2,600 to 5,200",The North,No,,,
Female,22,Single,A Levels,English,White,"5,200 to 10,400",The North,No,,,
Female,78,Widowed,No Qualification,English,White,"Under 2,600",The North,Yes,20.0,20.0,Packets
Female,49,Married,ONC/BTEC,English,Mixed,"15,600 to 20,800",The North,No,,,
Male,74,Married,Other/Sub Degree,English,White,"15,600 to 20,800",The North,No,,,
Male,85,Widowed,Degree,Scottish,White,"20,800 to 28,600",The North,No,,,
Male,75,Married,Other/Sub Degree,English,White,Refused,The North,No,,,
Female,80,Widowed,GCSE/O Level,British,White,"2,600 to 5,200",The North,No,,,
Female,37,Married,Degree,British,White,"Under 2,600",The North,No,,,
Female,33,Single,Degree,British,White,"10,400 to 15,600",The North,No,,,
Male,41,Divorced,A Levels,English,White,"15,600 to 20,800",The North,No,,,
Female,81,Widowed,No Qualification,British,White,"2,600 to 5,200",The North,No,,,
Female,76,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,Yes,6.0,6.0,Packets
Female,58,Married,A Levels,British,White,"10,400 to 15,600",The North,No,,,
Male,59,Married,Other/Sub Degree,English,White,"15,600 to 20,800",The North,Yes,25.0,25.0,Packets
Female,40,Divorced,GCSE/O Level,English,White,"5,200 to 10,400",The North,Yes,4.0,4.0,Packets
Female,54,Divorced,GCSE/O Level,British,White,"10,400 to 15,600",The North,No,,,
Male,49,Married,Degree,Scottish,White,"Above 36,400",The North,No,,,
Female,79,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Male,28,Married,Other/Sub Degree,British,White,"20,800 to 28,600",The North,Yes,20.0,20.0,Packets
Male,44,Married,Other/Sub Degree,English,White,"5,200 to 10,400",The North,No,,,
